n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,wifi,precisions,codes_types_mediations,codes_publics,codes_thematiques,lat,lon,BAN_latitude,BAN_longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode,BAN_depcode
Ref_0394,,65,Pouyastruc,,bibliothèque,,65350,rue des écoles,,rue des écoles 65350 Pouyastruc,,,,05 62 33 67 39,bibliotheque-pouyastruc@orange.fr,,,,,,,,,Janvier 2020,,,ORD,TP,,,,,,,,,,,,,,,,,,,,non,,ORD,TP,,43.267507,0.173217,43.267507,0.173217,Rue des Ecoles,Rue des Ecoles 65350 Pouyastruc,Pouyastruc,65350,65
Ref_0395,,65,Rabastens de Bigorre,,France Services - Rabastens en Bigorre,CC Adour Madiran,65140,16 place centrale,,16 place centrale 65140 Rabastens de Bigorre,Collectivité territoriale,,,05 62 96 54 51, msap-rabastens@adour-madiran.fr,https://www.cohesion-territoires.gouv.fr/france-services,8:30 - 12:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00,8:30 - 12:00 / 13:30 - 17:00,8:30 - 12:00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,,,,,,43.387473,0.150968,43.387473,0.150968,16 Place Centrale,16 Place Centrale 65140 Rabastens-de-Bigorre,Rabastens-de-Bigorre,65140,65
Ref_0396,,31,Toulouse,,Toulouse Ouverture 7,,31100,4 bis cheminement Cambert,,4 bis cheminement Cambert 31100 Toulouse,Association,,,05 61 44 27 74,TO7@TO7.ORG,,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,9h - 11h30,,,,Mars 2021,TP,Sur RDV / Gratuit,ORDM,TP,Accueil avec accompagnement  accueil pour les personnes à mobilité réduite,,ENT,TP,Atelier informatique le lundi de 9H à 12H,,,,,,,,,,,,,,,,,ORDM-ENT,TP-TP-TP,,43.568598,1.402861,43.568598,1.402861,4 Cheminement Robert Cambert,4 Cheminement Robert Cambert 31100 Toulouse,Toulouse,31100,31
Ref_0397,,31,Toulouse,,Le PAVE,,31100,10 rue Julien Forgues,,10 rue Julien Forgues 31100 Toulouse,Association,,,06 51 28 34 21,clas.pave.pradettes@gmail.com,,,17h30 - 20h,,17h30 - 20h,,,,Mars 2021,TP,Gratuit,ORDM,TP,Accueil avec accompagnement  Impression et scan,,ENT,TP,"Ateliers ""With Your Own Device"" : venez avec votre propore matériel informatique pour être accompagné dans vos démarches ",,,,,,,,,,,,,,,,,ORDM-ENT,TP-TP-TP,,43.580873,1.388472,43.580873,1.388472,10 Rue Julien Forgues,10 Rue Julien Forgues 31100 Toulouse,Toulouse,31100,31
Ref_0398,,65,Saint Laurent de Neste,,Maison du savoir,,65150,,,65150 Saint Laurent de Neste,,,,,contact@maisondusavoir.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.084025,0.481278,43.084025,0.481278,Saint-Laurent-de-Neste,Saint-Laurent-de-Neste,Saint-Laurent-de-Neste,65150,65
Ref_0399,,65,Saint Laurent de Neste,,FABLAB SAPIENS,C.C. CANTON DE ST LAURENT DE NESTE,65150,Route de Tarbes Toulouse ZA Pic Pyrénées Innovation,,Route de Tarbes Toulouse ZA Pic Pyrénées Innovation 65150 Saint Laurent de Neste,Collectivité territoriale,,,05 62 50 16 08,fablab@neste-barousse.fr,https://fablab-sapiens.fr/,,,10h – 19h,10h – 19h,10h – 19h,10h – 19h,,Octobre 2020,,,FL,TP J,,,,,,,,,,,,,,,,,,,TL,,,FL,TP J,,,,,,,,,,
Ref_0400,,65,Sarp,,France Services - Sarp,CC Neste Barousse,65370,Maison de la Barousse,Centre Village,Maison de la Barousse 65370 Sarp,,,,05 62 99 20 42,communaute-de-communes@neste-barousse.fr,https://www.cohesion-territoires.gouv.fr/france-services,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / 14:00 - 17:00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,,,,,,43.024808,0.600456,43.024808,0.600456,Route de Sarp,Route de Sarp 65370 Loures-Barousse,Loures-Barousse,65370,65
Ref_0401,,65,St Lary soulan,,France Services - Saint-Lary-Soulan,Guichet Initiative Pluriactivité Emploi (GIPE),65170,36 rue Vincent Mir,Galerie Commerciale,36 rue Vincent Mir 65170 St Lary soulan,Association,,,05 62 40 08 14,gipe65@perenne.org,https://www.cohesion-territoires.gouv.fr/france-services,9:00 - 12:00 / 14:00 - 17:00,9:00 - 12:00 / 14:00 - 17:00,9:00 - 12:00 / 14:00 - 17:00,9:00 - 12:00 / 14:00 - 17:00,9:00 - 12:00 / 14:00 - 17:00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,,,,,,42.816079,0.320982,42.816079,0.320982,36 Rue Vincent Mir,36 Rue Vincent Mir 65170 Saint-Lary-Soulan,Saint-Lary-Soulan,65170,65
Ref_0402,,31,Toulouse,,Lien Horizon Danse,,31100,21 cheminement Francisco de Goya,,21 cheminement Francisco de Goya 31100 Toulouse,Association,,,05 34 60 13 08,lienhorizondanse@orange.fr,,9h - 12h,14h - 17h,,9h - 12h / 13h - 16h,14h - 16h ,,,Mars 2021,TP,Adhésion : 10 euros,ORDM,TP,Accueil avec accompagnement  Impression et scan,,ACCDS,TP,Aide administrative,,,,,,,,,,,,,,,,,ORDM-ACCDS,TP-TP-TP,,43.561881,1.400584,43.561881,1.400584,21 Cheminement Francisco de Goya,21 Cheminement Francisco de Goya 31100 Toulouse,Toulouse,31100,31
Ref_0403,,65,St Lary soulan,,Médiathèque Maison du Patrimoine,,65170,41 rue Vincent Mir,,41 rue Vincent Mir 65170 St Lary soulan,,,,05 62 40 87 86,accueil@patrimoine-stlary.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,limité 30 min,,ORD,TP,,42.81661,0.321888,42.81661,0.321888,41 Rue Vincent Mir,41 Rue Vincent Mir 65170 Saint-Lary-Soulan,Saint-Lary-Soulan,65170,65
Ref_0404,,65,Séméac,,bibliothèque Albert Camus,,65600,51 rue de la République,,51 rue de la République 65600 Séméac,,,,05 62 37 78 63,biblio.albert.camus@agglo-tlp.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,non,,ORD,TP,,43.228308,0.105468,43.228308,0.105468,51 Rue de la République,51 Rue de la République 65600 Séméac,Séméac,65600,65
Ref_0405,,65,Séméac,,Restos du Cœur,Restos du coeur,65600,41 rue de la République,,41 rue de la République 65600 Séméac,Association,,,,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,non,,ORD,TP,,43.228272,0.10468,43.228272,0.10468,41 Rue de la République,41 Rue de la République 65600 Séméac,Séméac,65600,65
Ref_0406,,65,Tarbes,,France Services - Tarbes Laubadère,La Poste,65000,10 Avenue Antoine de Saint-exupéry,,10 Avenue Antoine de Saint-exupéry 65000 Tarbes,,La Poste,,05 62 51 80 92, tarbes-laubadere@france-services.gouv.fr,https://www.cohesion-territoires.gouv.fr/france-services,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,,,,,,43.243822,0.063606,43.243822,0.063606,10 Avenue Antoine de Saint-exupéry,10 Avenue Antoine de Saint-exupéry 65000 Tarbes,Tarbes,65000,65
Ref_0407,,65,Tarbes,,L'ADR'ESS,LES PETITS DEBROUILLARDS,65000,2 Boulevard Garigliano,,2 Boulevard Garigliano 65000 Tarbes,Association,,,06 48 86 91 40,e.portalier@lespetitsdebrouillards.org,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,TL,oui,,ORD,TP,,43.244753,0.063663,43.244753,0.063663,2 Boulevard du Garigliano,2 Boulevard du Garigliano 65000 Tarbes,Tarbes,65000,65
Ref_0408,,65,Tarbes,,CRESCENDO - PLURIFAB - LA MANUFACTURE,,65000,14 Boulevard Pierre RENAUDET,,14 Boulevard Pierre RENAUDET 65000 Tarbes,Association,,,05.62.36.21.34 - 06.10.78.05.87,emmanuel.dubie@crescendo-tarbes.com,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,TL,,,FL,,,43.244613,0.075044,43.244613,0.075044,14 Boulevard Pierre Renaudet,14 Boulevard Pierre Renaudet 65000 Tarbes,Tarbes,65000,65
Ref_0409,,65,Tarbes,,bibliothèque Louis Aragon,,65000,31 rue André Fourcade,,31 rue André Fourcade 65000 Tarbes,,,,05 62 44 38 98,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,oui,,ORD,TP,,43.236154,0.077966,43.236154,0.077966,31 Rue André Fourcade,31 Rue André Fourcade 65000 Tarbes,Tarbes,65000,65
Ref_0410,,65,Tarbes,,bibliothèque Nelson Mandela,,65000,10 avenue Antoine de Saint Exupéry,,10 avenue Antoine de Saint Exupéry 65000 Tarbes,,,,05 62 37 99 20,biblio.nelson.mandela@agglo-tlp.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,oui,,ORD,TP,,43.243822,0.063606,43.243822,0.063606,10 Avenue Antoine de Saint-exupéry,10 Avenue Antoine de Saint-exupéry 65000 Tarbes,Tarbes,65000,65
Ref_0412,,65,Tarbes,,Association Informatique Tarbaise,,65000,7 rue André Breyer,,7 rue André Breyer 65000 Tarbes,Association,,,06 25 39 46 24,,,,,,,,,,Février 2021,,,ORD,TP,cotisation annuelle 20€ donne accès aux ordinateurs et connexion internet.,,,,,,,,,,,,,,,,,,,oui,,ORD,TP,,43.236366,0.065331,43.236366,0.065331,7 Rue André Breyer,7 Rue André Breyer 65000 Tarbes,Tarbes,65000,65
Ref_0413,,65,Tarbes,,St Vincent de Paul,,65000,14 rue Solférino,,14 rue Solférino 65000 Tarbes,,,,05 62 51 13 82,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,non,,ORD,TP,,43.239085,0.065776,43.239085,0.065776,14 Rue Solférino,14 Rue Solférino 65000 Tarbes,Tarbes,65000,65
Ref_0414,,65,Tarbes,,Confédération Syndicale des Familles,,65000,33 rue E Ténot,,33 rue E Ténot 65000 Tarbes,,,,05 62 38 17 69,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,non,,ORD,TP,,43.23479,0.081453,43.23479,0.081453,33 Rue Eugène Ténot,33 Rue Eugène Ténot 65000 Tarbes,Tarbes,65000,65
Ref_0418,,65,Tarbes,,Bureau d'information Jeunesse (BIJ),,65000,3 rue colomès de Juillan,,3 rue colomès de Juillan 65000 Tarbes,,,,05 62 93 22 12,jeunesseviecitoyenne@mairie-tarbes.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,oui <26 ans,,ORD,TP,,43.234617,0.07326,43.234617,0.07326,3 Rue Colomès de Juillan,3 Rue Colomès de Juillan 65000 Tarbes,Tarbes,65000,65
Ref_0419,,65,Tarbes,,point jeunes Laub'ados,,65000,26 rue Guynemer,,26 rue Guynemer 65000 Tarbes,,,,05 62 36 31 68,jeunesse.nord@mairie-tarbes.fr,,9h-12h et 14h-18h,9h-12h et 14h-18h,9h-12h et 14h-18h,9h-12h et 14h-18h,9h-12h et 14h-18h,,,Février 2021,,,ORDM,J,Possibilité d'impression,,,,,,,,,,,,,,,,,,,oui,,ORDM,J,,43.242443,0.056576,43.242443,0.056576,26 Rue Georges Guynemer,26 Rue Georges Guynemer 65000 Tarbes,Tarbes,65000,65
Ref_0420,,65,Tarbes,,Solidarité avec les Gens du Voyage (SAGV),,65000,17 avenue Joffre,,17 avenue Joffre 65000 Tarbes,,,,05 62 36 76 44,sagv65@wanadoo.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,non,,ORD,TP,,43.239617,0.071922,43.239617,0.071922,17 Avenue Maréchal Joffre,17 Avenue Maréchal Joffre 65000 Tarbes,Tarbes,65000,65
Ref_0421,,65,Tarbes,,atelier Canopé,,65000,11 rue G. Magnoac,,11 rue G. Magnoac 65000 Tarbes,,,,05 62 44 36 36,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,oui,,ORD,TP,,43.234173,0.075699,43.234173,0.075699,11 Rue Georges Magnoac,11 Rue Georges Magnoac 65000 Tarbes,Tarbes,65000,65
Ref_0422,,65,Tarbes,,Portes Ouvertes,,65000,6 cité Mouysset,,6 cité Mouysset 65000 Tarbes,,,,06 33 42 80 52,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,oui,,ORD,TP,,43.225474,0.089474,43.225474,0.089474,6 Cite Mouysset,6 Cite Mouysset 65000 Tarbes,Tarbes,65000,65
Ref_0423,,31,Toulouse,,Maison de l'orientation ,,31100,57 allée de Bellefontaine,,57 allée de Bellefontaine 31100 Toulouse,,,Conseil Régional,05 61 33 48 48 ,,maisondelorientation.toulouselaregion.fr,13h30 - 17h,8h30 - 12h30 / 13h30 - 17h,8h30 - 12h30 / 13h30 - 17h,8h30 - 12h30 / 13h30 - 17h,8h30 - 12h30 / 13h30 - 16h30,,,Mars 2021,TP,Gratuit,ORDM,TP,Accueil avec accompagnement  impression et scan,,,,,,,,,,,,,,,,,,,,,ORDM,TP-TP,,43.565245,1.400657,43.565245,1.400657,57 Allée de Bellefontaine,57 Allée de Bellefontaine 31100 Toulouse,Toulouse,31100,31
Ref_0424,,65,Trie sur baïse,,restos du cœur,Restos du coeur,65220,3 place de la Mairie,,3 place de la Mairie 65220 Trie sur baïse,Association,,,,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,non,,ORD,TP,,43.321167,0.370777,43.321167,0.370777,3 Place de la Mairie,3 Place de la Mairie 65220 Trie-sur-Baïse,Trie-sur-Baïse,65220,65
Ref_0425,,31,Toulouse,,Espace Séniors connectés,,31100,14 place Abbal,,14 place Abbal 31100 Toulouse,,,Toulouse métropole,05 31 22 98 41 ,,,Point info séniors : 8h30 - 11h30,,,Point info séniors : 8h30 - 11h30 ; Espace séniors connectés : 13H30 - 15H,,,,Mars 2021,SEN,Séniors de plus de 60 ans retraités : 5 euros / Séniors de plus de 60 ans actifs : 8 euros / 11 euros pour les non toulousains,COMP,SEN,Initiation à l'informatique et aide aux démarches; cafés numériques,AGIR ABCD,,,,,,,,,,,,,,,,,,,,COMP,SEN-SEN,,43.571328,1.401353,43.571328,1.401353,14 Place André Abbal,14 Place André Abbal 31100 Toulouse,Toulouse,31100,31
Ref_0427,,11,Carcassonne,,Info Jeunes Carcassonne - Montsarrat,,11000,Avenue Jules Verne,,Avenue Jules Verne 11000 Carcassonne,,,,04 68 47 85 73,pij.montsarrat@carcassonne-agglo-solidarite.fr,,,,,,,,,Mars 2021,J,,ORDM,J,,,ACCDA,J,,,ACCDS,J,,,SENS,J,,,,,,,,,,ORDM-ACCDA-ACCDS-SENS,J-J-J-J-J,,43.208205,2.330415,43.208205,2.330415,Avenue Jules Verne,Avenue Jules Verne 11000 Carcassonne,Carcassonne,11000,11
Ref_0428,,65,Vic en Bigorre,,Maison des Jeunes et de la Culture,,65500,17 Rue Barère de Vieuzac,,17 Rue Barère de Vieuzac 65500 Vic en Bigorre,,Centre social,,05 62 31 61 00 / 06 52 96 20 05,,www.mjcvic.fr,,,,,,,,Février 2021,TP,Libre,ORD,,,,,,,,,,,,,,,,,,,,,,,ORD,TP,,43.384458,0.05662,43.384458,0.05662,17 Rue Barere Vieuzac,17 Rue Barere Vieuzac 65500 Vic-en-Bigorre,Vic-en-Bigorre,65500,65
Ref_0429,,65,Vic en Bigorre,,France Services - Vic-en-Bigorre,CC Adour Madiran,65500,21 Place du Corps Franc Pommies,,21 Place du Corps Franc Pommies 65500 Vic en Bigorre,Collectivité territoriale,,,06 08 86 42 99,msap@adour-madiran.fr,https://www.cohesion-territoires.gouv.fr/france-services,8:30 - 12:30,8:30 - 12:30 / 14:00 - 18:00,8:30 - 12:30 / 14:00 - 18:00,8:30 - 12:30 / 14:00 - 18:00,8:30 - 12:30 / 14:00 - 17:00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,,,,,,43.38676,0.054881,43.38676,0.054881,21 Place du Corps Franc Pommies,21 Place du Corps Franc Pommies 65500 Vic-en-Bigorre,Vic-en-Bigorre,65500,65
Ref_0430,,65,Vic en Bigorre,,Restos du Cœur,Restos du coeur,65500,17 rue Barrère de Vieuzac,,17 rue Barrère de Vieuzac 65500 Vic en Bigorre,Association,,,,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,non,,ORD,TP,,43.384458,0.05662,43.384458,0.05662,17 Rue Barere Vieuzac,17 Rue Barere Vieuzac 65500 Vic-en-Bigorre,Vic-en-Bigorre,65500,65
Ref_0431,,11,Lézignan-Corbières,,Info Jeunes Lézignan MJC,,11200,25 rue Marat,,25 rue Marat 11200 Lézignan-Corbières,,,,04 68 27 03 34,mjc.lezignan.corbieres@wanadoo.fr,,,,,,,,,Mars 2021,J,,ORDM,J,,,ACCDA,J,,,ACCDS,J,,,SENS,J,,,,,,,,,,ORDM-ACCDA-ACCDS-SENS,J-J-J-J-J,,43.199696,2.757916,43.199696,2.757916,25 Rue Marat,25 Rue Marat 11200 Lézignan-Corbières,Lézignan-Corbières,11200,11
Ref_0432,,65,Vic en Bigorre,,Maison Départementale de la Solidarité du Val d'Adour,Conseil Départemental,65500,445 avenue J Fourcade,,445 avenue J Fourcade 65500 Vic en Bigorre,Collectivité territoriale,,,05 31 74 35 90,mds.valdadour@ha-py.fr,www.hautespyrenees.fr,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,,,Juin 2021,,possibilité de RDV sur notre site à Maubourguet ou à Rabastens de Bigorre,ACCDA,TP,RDV avec une secrétaire ou  si la situation est complexe  avec un travailleur social.,,,,,,,,,,,,,,,,,,,,,ACCDA,TP,,43.390384,0.05315,43.390384,0.05315,445 Avenue Jacques Fourcade,445 Avenue Jacques Fourcade 65500 Vic-en-Bigorre,Vic-en-Bigorre,65500,65
Ref_0434,,65,Vic en Bigorre,,Médiathèque Adour Madiran,,65500,Quai Rossignol,,Quai Rossignol 65500 Vic en Bigorre,,,,05 62 43 05 25,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,oui,,ORD,TP,,43.383138,0.051068,43.383138,0.051068,Quai Rossignol,Quai Rossignol 65500 Vic-en-Bigorre,Vic-en-Bigorre,65500,65
Ref_0435,Actualisé (S.),31,Toulouse,,Part'ages 31,,31000,Allées Jules Guesdes,La Cantine du Quai,Allées Jules Guesdes 31000 Toulouse,Association,,,06 89 17 59 46,,https://www.lamelee.com/%C3%A9v%C3%A8nement/seniors-et-numerique/,,9h-10h30 / 11h-13h,,,,,,Février 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.593656,1.446874,43.593656,1.446874,Allées Jules Guesde,Allées Jules Guesde 31000 Toulouse,Toulouse,31000,31
Ref_0436,Actualisé (S.),31,Toulouse,,Actisse,,31000,Allées Jules Guesdes,La Cantine du Quai,Allées Jules Guesdes 31000 Toulouse,Association,,,,,http://www.actisse.net/,,,,,14h-16h,,,Octobre 2020,S,,COMP,S,,,SENS,S,,,,,,,,,,,,,,,,,,COMP-SENS,S-S-S,,43.593656,1.446874,43.593656,1.446874,Allées Jules Guesde,Allées Jules Guesde 31000 Toulouse,Toulouse,31000,31
Ref_0437,,31,Villeneuve Tolosane,,Club tolosane informatique,,31270,16 rue de la république,,16 rue de la république 31270 Villeneuve Tolosane,Association,,,05 61 31 18 13,tolomicro@free.fr,http://tolomicro.free.fr/Nouveau%20dossier/cadre0.htm,,,,,,,,Octobre 2020,,,COMP,TP,,,,,,,,,,,,,,,,,,,,,,COMP,TP,,43.524437,1.341921,43.524437,1.341921,16 Rue de la République,16 Rue de la République 31270 Villeneuve-Tolosane,Villeneuve-Tolosane,31270,31
Ref_0438,,31,Montrabé,,Club informatique Montrabé,,31850,Espace St Exupéry - allée de la gare,,Espace St Exupéry - allée de la gare 31850 Montrabé,Association,,,05 34 26 40 40,cim19@wanadoo.fr,https://www.clubinformatiquemontrabe.fr/,,,,,,,,Octobre 2020,,,COMP,TP,,,SENS,TP,,,,,,,,,,,,,,,,,,COMP-SENS,TP-TP,,43.64452,1.524718,43.64452,1.524718,Allée de la Gare,Allée de la Gare 31850 Montrabé,Montrabé,31850,31
Ref_0439,,31,Toulouse,,Lieu Ressources formation,Lieu Ressources formation,31500,1 impasse baurot,,1 impasse baurot 31500 Toulouse,Association,,,05 62 48 53 20,,https://www.lrf.asso.fr/,,,,,,,,Octobre 2020,,,COMP,TP,,,,,,,,,,,,,,,,,,,,,,COMP,TP,,43.607609,1.469624,43.607609,1.469624,1 Impasse du Général Baurot,1 Impasse du Général Baurot 31500 Toulouse,Toulouse,31500,31
Ref_0440,,31,COLOMIERS,,Envoi,,31770,3 Avenue Jean Mermoz,,3 Avenue Jean Mermoz 31770 COLOMIERS,SASU,,,07 67 89 60 13,mobil-it@envoi-ess.org,https://www.envoi-ess.org/,,,,,,,,Janvier 2022,TP,Itinérance sur une zone géographique évolutive : Communauté de Communes de la Save au Touch  Blagnac  Agglo du Muretain...,ACCN,TP,Apprentissage d’une démarche numérique (lettre de motivation  adresse mail...)  Démarche simple en ligne liée à un droit (aller chercher une attestation sur son espace personnel  transmettre une pièce jointe  faire une déclaration trimestrielle...),,SENS,TP,,,ACCDA,TP,,,COMP,TP,Sessions d’apprentissage collectives sur des compétences numériques (avec ou sans Pix  Aptic...)  Atelier collectif autour de l’informatique  dont le but principal est l’entraide  la lutte contre l’isolement et le lien social. La notion de montée en compétences est secondaire.  Ateliers collectifs proposant du contenu relatif à la sensibilisation à l’informatique et la prévention des risques sur internet (médias en ligne  jeux vidéos  promotion de logiciels libres...),Sessions d’apprentissage collectives sur des compétences numériques (avec ou sans Pix  Aptic...)  Atelier collectif autour de l’informatique  dont le but principal est l’entraide  la lutte contre l’isolement et le lien social. La notion de montée en compétences est secondaire.  Ateliers collectifs proposant du contenu relatif à la sensibilisation à l’informatique et la prévention des risques sur internet (médias en ligne  jeux vidéos  promotion de logiciels libres...),ENT,TP,,,APTIC,oui,,ACCN-SENS-ACCDA-COMP-ENT,TP-TP-TP-TP-TP-TP,,43.623894,1.344158,43.623894,1.344158,Avenue Jean Mermoz,Avenue Jean Mermoz 31770 Colomiers,Colomiers,31770,31
Ref_0441,,31,Toulouse,,Face Grand Toulouse,,31500,32 rue de la Caravelle,,32 rue de la Caravelle 31500 Toulouse,,,,05 34 42 07 22,face.grandtoulouse@fondationface.org,https://www.facegrandtoulouse.org/,,,,,,,,Octobre 2020,,,COMP,,,,,,,,,,,,,,,,,,,,APTIC,,,COMP,,,43.616959,1.462544,43.616959,1.462544,32 Rue de la Caravelle,32 Rue de la Caravelle 31500 Toulouse,Toulouse,31500,31
Ref_0442,,31,Rieumes,,MJC Rieumes,,31370,410 rue du pigeonnier,,410 rue du pigeonnier 31370 Rieumes,,,,06 49 04 78 81,contact@mjcrieumesetsaves.com,https://mjcrieumesetsaves.com/,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.407478,1.117066,43.407478,1.117066,410 Rue du Pigeonnier,410 Rue du Pigeonnier 31370 Rieumes,Rieumes,31370,31
Ref_0443,,31,Lherm,,MJC Lherm,,31600,2 av de Gascogne,,2 av de Gascogne 31600 Lherm,,,,05 61 56 02 32,accueilmjclherm@orange.fr,https://www.mjclherm.fr/,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.429655,1.222155,43.429655,1.222155,2 Avenue de Gascogne,2 Avenue de Gascogne 31600 Lherm,Lherm,31600,31
Ref_0444,,31,Le Fousseret,,Espace de vie sociale Foyers Ruraux,Foyer rural,31430,136 route de Pouy-de-Touges,,136 route de Pouy-de-Touges 31430 Le Fousseret,,,,09 81 22 02 28,guillaume.castaing@mouvement-rural.org,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.291826,1.06529,43.291826,1.06529,136 Route de Pouy de Touges,136 Route de Pouy de Touges 31430 Le Fousseret,Le Fousseret,31430,31
Ref_0445,,31,Launac,,Club informatique,CCAS de Launac,31330,1 Place des Jardins Galembrun,,1 Place des Jardins Galembrun 31330 Launac,,,,,,,,,,,,,,Octobre 2020,,,COMP,TP,sur inscription,,,,,,,,,,,,,,,,,,,,,COMP,TP,,43.758948,1.139129,43.758948,1.139129,1 Place des Jardins,1 Place des Jardins 31330 Launac,Launac,31330,31
Ref_0446,,31,Grenade,,CCAS Grenade,,31330,17 avenue Lazare Carnot,,17 avenue Lazare Carnot 31330 Grenade,Collectivités,,,05 61 37 66 00,contact@mairie-grenade.fr,https://www.mairie-grenade.fr/social-sante/ccas/,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.769362,1.295289,43.769362,1.295289,17 Avenue Lazare Carnot,17 Avenue Lazare Carnot 31330 Grenade,Grenade,31330,31
Ref_0447,,31,Toulouse,,Lien social insertion et solidarité (ALIS),,31100,3 Cheminement Robert Cambert,,3 Cheminement Robert Cambert 31100 Toulouse,Association,,,,,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.568771,1.402858,43.568771,1.402858,3 Cheminement Robert Cambert,3 Cheminement Robert Cambert 31100 Toulouse,Toulouse,31100,31
Ref_0448,,31,Lasserre-Pradère,,Association Macarion,,31530,2 place de la Mairie,,2 place de la Mairie 31530 Lasserre-Pradère,Association,,,05 61 06 04 62,macarion31@gmail.com,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.63881,1.169439,43.63881,1.169439,2 Place de la Mairie,2 Place de la Mairie 31530 Lasserre-Pradère,Lasserre-Pradère,31530,31
