n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,latitude,longitude
Ref_0397,,31,Toulouse,,Le PAVE,,31100,10 rue Julien Forgues,,10 rue Julien Forgues 31100 Toulouse,Association,,,06 51 28 34 21,clas.pave.pradettes@gmail.com,,,17h30 - 20h,,17h30 - 20h,,,,Mars 2021,TP,Gratuit,ORDM,TP,Accueil avec accompagnement  Impression et scan,,ENT,TP,Ateliers ""With Your Own Device"" : venez avec votre propore matériel informatique pour être accompagné dans vos démarches ,,,,,,,,,,,,,,,,,,43.580873,1.388472,ORDM-ENT,TP-TP-TP,,43.580873,1.388472
Ref_0398,,65,Saint Laurent de Neste,,Maison du savoir,,65150,,,65150 Saint Laurent de Neste,,,,,contact@maisondusavoir.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.084025,0.481278,,,,43.084025,0.481278
Ref_0400,,65,Sarp,,France Services - Sarp,CC Neste Barousse,65370,Maison de la Barousse,Centre Village,Maison de la Barousse 65370 Sarp,,,,05 62 99 20 42,communaute-de-communes@neste-barousse.fr,https://www.cohesion-territoires.gouv.fr/france-services,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / 14:00 - 17:00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.024808,0.600456,,,,43.024808,0.600456
Ref_0401,,65,St Lary soulan,,France Services - Saint-Lary-Soulan,Guichet Initiative Pluriactivité Emploi (GIPE),65170,36 rue Vincent Mir,Galerie Commerciale,36 rue Vincent Mir 65170 St Lary soulan,Association,,,05 62 40 08 14,gipe65@perenne.org,https://www.cohesion-territoires.gouv.fr/france-services,9:00 - 12:00 / 14:00 - 17:00,9:00 - 12:00 / 14:00 - 17:00,9:00 - 12:00 / 14:00 - 17:00,9:00 - 12:00 / 14:00 - 17:00,9:00 - 12:00 / 14:00 - 17:00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,42.816079,0.320982,,,,42.816079,0.320982
Ref_0402,,31,Toulouse,,Lien Horizon Danse,,31100,21 cheminement Francisco de Goya,,21 cheminement Francisco de Goya 31100 Toulouse,Association,,,05 34 60 13 08,lienhorizondanse@orange.fr,,9h - 12h,14h - 17h,,9h - 12h / 13h - 16h,14h - 16h,,,Mars 2021,TP,Adhésion : 10 euros,ORDM,TP,Accueil avec accompagnement  Impression et scan,,ACCDS,TP,Aide administrative,,,,,,,,,,,,,,,,,,43.561881,1.400584,ORDM-ACCDS,TP-TP-TP,,43.561881,1.400584
Ref_0403,,65,St Lary soulan,,Médiathèque Maison du Patrimoine,,65170,41 rue Vincent Mir,,41 rue Vincent Mir 65170 St Lary soulan,,,,05 62 40 87 86,accueil@patrimoine-stlary.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,limité 30 min,,42.81661,0.321888,ORD,TP,,42.81661,0.321888
Ref_0404,,65,Séméac,,bibliothèque Albert Camus,,65600,51 rue de la République,,51 rue de la République 65600 Séméac,,,,05 62 37 78 63,biblio.albert.camus@agglo-tlp.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,non,,43.228308,0.105468,ORD,TP,,43.228308,0.105468
Ref_0405,,65,Séméac,,Restos du Cœur,Restos du coeur,65600,41 rue de la République,,41 rue de la République 65600 Séméac,Association,,,,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,non,,43.228272,0.10468,ORD,TP,,43.228272,0.10468
Ref_0406,,65,Tarbes,,France Services - Tarbes Laubadère,La Poste,65000,10 Avenue Antoine de Saint-exupéry,,10 Avenue Antoine de Saint-exupéry 65000 Tarbes,,La Poste,,05 62 51 80 92,tarbes-laubadere@france-services.gouv.fr,https://www.cohesion-territoires.gouv.fr/france-services,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,9:00 - 12:00 / 14:00 - 16:30,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.243822,0.063606,,,,43.243822,0.063606
Ref_0407,,65,Tarbes,,L'ADR'ESS,LES PETITS DEBROUILLARDS,65000,2 Boulevard Garigliano,,2 Boulevard Garigliano 65000 Tarbes,Association,,,06 48 86 91 40,e.portalier@lespetitsdebrouillards.org,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,oui,,43.244753,0.063663,ORD,TP,,43.244753,0.063663
Ref_0408,,65,Tarbes,,CRESCENDO - PLURIFAB - LA MANUFACTURE,,65000,14 Boulevard Pierre RENAUDET,,14 Boulevard Pierre RENAUDET 65000 Tarbes,Association,,,05.62.36.21.34 - 06.10.78.05.87,emmanuel.dubie@crescendo-tarbes.com,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.244613,0.075044,FL,,,43.244613,0.075044
Ref_0409,,65,Tarbes,,bibliothèque Louis Aragon,,65000,31 rue André Fourcade,,31 rue André Fourcade 65000 Tarbes,,,,05 62 44 38 98,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,oui,,43.236154,0.077966,ORD,TP,,43.236154,0.077966
Ref_0410,,65,Tarbes,,bibliothèque Nelson Mandela,,65000,10 avenue Antoine de Saint Exupéry,,10 avenue Antoine de Saint Exupéry 65000 Tarbes,,,,05 62 37 99 20,biblio.nelson.mandela@agglo-tlp.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,oui,,43.243822,0.063606,ORD,TP,,43.243822,0.063606
Ref_0412,,65,Tarbes,,Association Informatique Tarbaise,,65000,7 rue André Breyer,,7 rue André Breyer 65000 Tarbes,Association,,,06 25 39 46 24,,,,,,,,,,Février 2021,,,ORD,TP,cotisation annuelle 20€ donne accès aux ordinateurs et connexion internet.,,,,,,,,,,,,,,,,,,,,oui,,43.236366,0.065331,ORD,TP,,43.236366,0.065331
Ref_0413,,65,Tarbes,,St Vincent de Paul,,65000,14 rue Solférino,,14 rue Solférino 65000 Tarbes,,,,05 62 51 13 82,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,non,,43.239085,0.065776,ORD,TP,,43.239085,0.065776
Ref_0414,,65,Tarbes,,Confédération Syndicale des Familles,,65000,33 rue E Ténot,,33 rue E Ténot 65000 Tarbes,,,,05 62 38 17 69,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,non,,43.23479,0.081453,ORD,TP,,43.23479,0.081453
Ref_0418,,65,Tarbes,,Bureau d'information Jeunesse (BIJ),,65000,3 rue colomès de Juillan,,3 rue colomès de Juillan 65000 Tarbes,,,,05 62 93 22 12,jeunesseviecitoyenne@mairie-tarbes.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,oui <26 ans,,43.234617,0.07326,ORD,TP,,43.234617,0.07326
Ref_0419,,65,Tarbes,,point jeunes Laub'ados,,65000,26 rue Guynemer,,26 rue Guynemer 65000 Tarbes,,,,05 62 36 31 68,jeunesse.nord@mairie-tarbes.fr,,9h-12h et 14h-18h,9h-12h et 14h-18h,9h-12h et 14h-18h,9h-12h et 14h-18h,9h-12h et 14h-18h,,,Février 2021,,,ORDM,J,Possibilité d'impression,,,,,,,,,,,,,,,,,,,,oui,,43.242443,0.056576,ORDM,J,,43.242443,0.056576
Ref_0420,,65,Tarbes,,Solidarité avec les Gens du Voyage (SAGV),,65000,17 avenue Joffre,,17 avenue Joffre 65000 Tarbes,,,,05 62 36 76 44,sagv65@wanadoo.fr,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,non,,43.239617,0.071922,ORD,TP,,43.239617,0.071922
Ref_0421,,65,Tarbes,,atelier Canopé,,65000,11 rue G. Magnoac,,11 rue G. Magnoac 65000 Tarbes,,,,05 62 44 36 36,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,oui,,43.234173,0.075699,ORD,TP,,43.234173,0.075699
Ref_0422,,65,Tarbes,,Portes Ouvertes,,65000,6 cité Mouysset,,6 cité Mouysset 65000 Tarbes,,,,06 33 42 80 52,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,oui,,43.225474,0.089474,ORD,TP,,43.225474,0.089474
Ref_0423,,31,Toulouse,,Maison de l'orientation,,31100,57 allée de Bellefontaine,,57 allée de Bellefontaine 31100 Toulouse,,,Conseil Régional,05 61 33 48 48,,maisondelorientation.toulouselaregion.fr,13h30 - 17h,8h30 - 12h30 / 13h30 - 17h,8h30 - 12h30 / 13h30 - 17h,8h30 - 12h30 / 13h30 - 17h,8h30 - 12h30 / 13h30 - 16h30,,,Mars 2021,TP,Gratuit,ORDM,TP,Accueil avec accompagnement  impression et scan,,,,,,,,,,,,,,,,,,,,,,43.565245,1.400657,ORDM,TP-TP,,43.565245,1.400657
Ref_0424,,65,Trie sur baïse,,restos du cœur,Restos du coeur,65220,3 place de la Mairie,,3 place de la Mairie 65220 Trie sur baïse,Association,,,,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,non,,43.321167,0.370777,ORD,TP,,43.321167,0.370777
Ref_0425,,31,Toulouse,,Espace Séniors connectés,,31100,14 place Abbal,,14 place Abbal 31100 Toulouse,,,Toulouse métropole,05 31 22 98 41,,,Point info séniors : 8h30 - 11h30,,,Point info séniors : 8h30 - 11h30 ; Espace séniors connectés : 13H30 - 15H,,,,Mars 2021,SEN,Séniors de plus de 60 ans retraités : 5 euros / Séniors de plus de 60 ans actifs : 8 euros / 11 euros pour les non toulousains,COMP,SEN,Initiation à l'informatique et aide aux démarches; cafés numériques,AGIR ABCD,,,,,,,,,,,,,,,,,,,,,43.571328,1.401353,COMP,SEN-SEN,,43.571328,1.401353
Ref_0427,,11,Carcassonne,,Info Jeunes Carcassonne - Montsarrat,,11000,Avenue Jules Verne,,Avenue Jules Verne 11000 Carcassonne,,,,04 68 47 85 73,pij.montsarrat@carcassonne-agglo-solidarite.fr,,,,,,,,,Mars 2021,J,,ORDM,J,,,ACCDA,J,,,ACCDS,J,,,SENS,J,,,,,,,,,,,43.208205,2.330415,ORDM-ACCDA-ACCDS-SENS,J-J-J-J-J,,43.208205,2.330415
Ref_0428,,65,Vic en Bigorre,,Maison des Jeunes et de la Culture,,65500,17 Rue Barère de Vieuzac,,17 Rue Barère de Vieuzac 65500 Vic en Bigorre,,Centre social,,05 62 31 61 00 / 06 52 96 20 05,,www.mjcvic.fr,,,,,,,,Février 2021,TP,Libre,ORD,,,,,,,,,,,,,,,,,,,,,,,,43.384458,0.05662,ORD,TP,,43.384458,0.05662
Ref_0429,,65,Vic en Bigorre,,France Services - Vic-en-Bigorre,CC Adour Madiran,65500,21 Place du Corps Franc Pommies,,21 Place du Corps Franc Pommies 65500 Vic en Bigorre,Collectivité territoriale,,,06 08 86 42 99,msap@adour-madiran.fr,https://www.cohesion-territoires.gouv.fr/france-services,8:30 - 12:30,8:30 - 12:30 / 14:00 - 18:00,8:30 - 12:30 / 14:00 - 18:00,8:30 - 12:30 / 14:00 - 18:00,8:30 - 12:30 / 14:00 - 17:00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.38676,0.054881,,,,43.38676,0.054881
Ref_0430,,65,Vic en Bigorre,,Restos du Cœur,Restos du coeur,65500,17 rue Barrère de Vieuzac,,17 rue Barrère de Vieuzac 65500 Vic en Bigorre,Association,,,,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,non,,43.384458,0.05662,ORD,TP,,43.384458,0.05662
Ref_0431,,11,Lézignan-Corbières,,Info Jeunes Lézignan MJC,,11200,25 rue Marat,,25 rue Marat 11200 Lézignan-Corbières,,,,04 68 27 03 34,mjc.lezignan.corbieres@wanadoo.fr,,,,,,,,,Mars 2021,J,,ORDM,J,,,ACCDA,J,,,ACCDS,J,,,SENS,J,,,,,,,,,,,43.199696,2.757916,ORDM-ACCDA-ACCDS-SENS,J-J-J-J-J,,43.199696,2.757916
Ref_0432,,65,Vic en Bigorre,,Maison Départementale de la Solidarité du Val d'Adour,Conseil Départemental,65500,445 avenue J Fourcade,,445 avenue J Fourcade 65500 Vic en Bigorre,Collectivité territoriale,,,05 31 74 35 90,mds.valdadour@ha-py.fr,www.hautespyrenees.fr,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,9h-12h et 14h-17h,,,Juin 2021,,possibilité de RDV sur notre site à Maubourguet ou à Rabastens de Bigorre,ACCDA,TP,RDV avec une secrétaire ou  si la situation est complexe  avec un travailleur social.,,,,,,,,,,,,,,,,,,,,,,43.390384,0.05315,ACCDA,TP,,43.390384,0.05315
Ref_0434,,65,Vic en Bigorre,,Médiathèque Adour Madiran,,65500,Quai Rossignol,,Quai Rossignol 65500 Vic en Bigorre,,,,05 62 43 05 25,,,,,,,,,,Février 2021,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,oui,,43.383138,0.051068,ORD,TP,,43.383138,0.051068
Ref_0435,Actualisé (S.),31,Toulouse,,Part'ages 31,,31000,Allées Jules Guesdes,La Cantine du Quai,Allées Jules Guesdes 31000 Toulouse,Association,,,06 89 17 59 46,,https://www.lamelee.com/%C3%A9v%C3%A8nement/seniors-et-numerique/,,9h-10h30 / 11h-13h,,,,,,Février 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,43.593656,1.446874,,,,43.593656,1.446874
Ref_0436,Actualisé (S.),31,Toulouse,,Actisse,,31000,Allées Jules Guesdes,La Cantine du Quai,Allées Jules Guesdes 31000 Toulouse,Association,,,,,http://www.actisse.net/,,,,,14h-16h,,,Octobre 2020,S,,COMP,S,,,SENS,S,,,,,,,,,,,,,,,,,,,43.593656,1.446874,COMP-SENS,S-S-S,,43.593656,1.446874
Ref_0437,,31,Villeneuve Tolosane,,Club tolosane informatique,,31270,16 rue de la république,,16 rue de la république 31270 Villeneuve Tolosane,Association,,,05 61 31 18 13,tolomicro@free.fr,http://tolomicro.free.fr/Nouveau%20dossier/cadre0.htm,,,,,,,,Octobre 2020,,,COMP,TP,,,,,,,,,,,,,,,,,,,,,,,43.524437,1.341921,COMP,TP,,43.524437,1.341921
Ref_0438,,31,Montrabé,,Club informatique Montrabé,,31850,Espace St Exupéry - allée de la gare,,Espace St Exupéry - allée de la gare 31850 Montrabé,Association,,,05 34 26 40 40,cim19@wanadoo.fr,https://www.clubinformatiquemontrabe.fr/,,,,,,,,Octobre 2020,,,COMP,TP,,,SENS,TP,,,,,,,,,,,,,,,,,,,43.64452,1.524718,COMP-SENS,TP-TP,,43.64452,1.524718
Ref_0439,,31,Toulouse,,Lieu Ressources formation,Lieu Ressources formation,31500,1 impasse baurot,,1 impasse baurot 31500 Toulouse,Association,,,05 62 48 53 20,,https://www.lrf.asso.fr/,,,,,,,,Octobre 2020,,,COMP,TP,,,,,,,,,,,,,,,,,,,,,,,43.607609,1.469624,COMP,TP,,43.607609,1.469624
Ref_0440,,31,COLOMIERS,,Envoi,,31770,3 Avenue Jean Mermoz,,3 Avenue Jean Mermoz 31770 COLOMIERS,SASU,,,07 67 89 60 13,mobil-it@envoi-ess.org,https://www.envoi-ess.org/,,,,,,,,Janvier 2022,TP,Itinérance sur une zone géographique évolutive : Communauté de Communes de la Save au Touch  Blagnac  Agglo du Muretain...,ACCN,TP,Apprentissage d’une démarche numérique (lettre de motivation  adresse mail...)  Démarche simple en ligne liée à un droit (aller chercher une attestation sur son espace personnel  transmettre une pièce jointe  faire une déclaration trimestrielle...),,SENS,TP,,,ACCDA,TP,,,COMP,TP,Sessions d’apprentissage collectives sur des compétences numériques (avec ou sans Pix  Aptic...)  Atelier collectif autour de l’informatique  dont le but principal est l’entraide  la lutte contre l’isolement et le lien social. La notion de montée en compétences est secondaire.  Ateliers collectifs proposant du contenu relatif à la sensibilisation à l’informatique et la prévention des risques sur internet (médias en ligne  jeux vidéos  promotion de logiciels libres...),Sessions d’apprentissage collectives sur des compétences numériques (avec ou sans Pix  Aptic...)  Atelier collectif autour de l’informatique  dont le but principal est l’entraide  la lutte contre l’isolement et le lien social. La notion de montée en compétences est secondaire.  Ateliers collectifs proposant du contenu relatif à la sensibilisation à l’informatique et la prévention des risques sur internet (médias en ligne  jeux vidéos  promotion de logiciels libres...),ENT,TP,,,APTIC,APTIC,oui,,43.623894,1.344158,ACCN-SENS-ACCDA-COMP-ENT,TP-TP-TP-TP-TP-TP,,43.623894,1.344158
Ref_0441,,31,Toulouse,,Face Grand Toulouse,,31500,32 rue de la Caravelle,,32 rue de la Caravelle 31500 Toulouse,,,,05 34 42 07 22,face.grandtoulouse@fondationface.org,https://www.facegrandtoulouse.org/,,,,,,,,Octobre 2020,,,COMP,,,,,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.616959,1.462545,COMP,,,43.616959,1.462544
Ref_0442,,31,Rieumes,,MJC Rieumes,,31370,410 rue du pigeonnier,,410 rue du pigeonnier 31370 Rieumes,,,,06 49 04 78 81,contact@mjcrieumesetsaves.com,https://mjcrieumesetsaves.com/,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.407478,1.117066,,,,43.407478,1.117066
Ref_0443,,31,Lherm,,MJC Lherm,,31600,2 av de Gascogne,,2 av de Gascogne 31600 Lherm,,,,05 61 56 02 32,accueilmjclherm@orange.fr,https://www.mjclherm.fr/,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.429655,1.222155,,,,43.429655,1.222155
Ref_0444,,31,Le Fousseret,,Espace de vie sociale Foyers Ruraux,Foyer rural,31430,136 route de Pouy-de-Touges,,136 route de Pouy-de-Touges 31430 Le Fousseret,,,,09 81 22 02 28,guillaume.castaing@mouvement-rural.org,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.291826,1.06529,,,,43.291826,1.06529
Ref_0445,,31,Launac,,Club informatique,CCAS de Launac,31330,1 Place des Jardins Galembrun,,1 Place des Jardins Galembrun 31330 Launac,,,,,,,,,,,,,,Octobre 2020,,,COMP,TP,sur inscription,,,,,,,,,,,,,,,,,,,,,,43.758948,1.139129,COMP,TP,,43.758948,1.139129
Ref_0446,,31,Grenade,,CCAS Grenade,,31330,17 avenue Lazare Carnot,,17 avenue Lazare Carnot 31330 Grenade,Collectivités,,,05 61 37 66 00,contact@mairie-grenade.fr,https://www.mairie-grenade.fr/social-sante/ccas/,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.769362,1.295289,,,,43.769362,1.295289
Ref_0447,,31,Toulouse,,Lien social insertion et solidarité (ALIS),,31100,3 Cheminement Robert Cambert,,3 Cheminement Robert Cambert 31100 Toulouse,Association,,,,,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.568771,1.402858,,,,43.568771,1.402858
Ref_0448,,31,Lasserre-Pradère,,Association Macarion,,31530,2 place de la Mairie,,2 place de la Mairie 31530 Lasserre-Pradère,Association,,,05 61 06 04 62,macarion31@gmail.com,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.63881,1.169439,,,,43.63881,1.169439
Ref_0449,,31,Toulouse,,La Compagnie du code,,31000,62 rue Matabiau,,62 rue Matabiau 31000 Toulouse,SARL en SCIC,,,05 32 10 83 40,contact@lacompagnieducode.org,https://www.lacompagnieducode.org/,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,,,Novembre 2020,,,COMP,Sur notre site internet : https://www.lacompagnieducode.org/ateliers-stages-programmation-informatique-adultes-toulouse/ Carnet de 10 tickets  séances ouvertes les mardi après-midis et les jeudis soirs. 209 € le carnet de 10 tickets  possibilité d'imprimer. Ordinateurs portables. Protocole sanitaire lié au site. Masques et distanciation respectés. Un intervenant pro en accompagnement sur les créneaux ouverts. Possibilité d'en ouvrir d'autres.,,,ENT,,,,SENS,,,,REP,,,,,,,,,,,,43.612572,1.448769,COMP-ENT-SENS-REP,Sur notre site internet : https://www.lacompagnieducode.org/ateliers-stages-programmation-informatique-adultes-toulouse/ Carnet de 10 tickets  séances ouvertes les mardi après-midis et les jeudis soirs. 209 € le carnet de 10 tickets  possibilité d'imprimer. Ordinateurs portables. Protocole sanitaire lié au site. Masques et distanciation respectés. Un intervenant pro en accompagnement sur les créneaux ouverts. Possibilité d'en ouvrir d'autres.,,43.612572,1.448769
Ref_0450,,31,Toulouse,,Wild Code School,,31300,18 place Roguet,,18 place Roguet 31300 Toulouse,,,,666476870,audrey.cassagnet@wildcodeschool.com,www.wildcodeschool.com/fr-FR/campus/toulouse,9h à 17h,9h à 17h,9h à 17h,9h à 17h,9h à 17h,,,Novembre 2020,,,PRO,TP,Formation développeur web intensive : devenez développeur en 5 mois et apprenez à coder en Javascript ou C# !  La formation prépare au titre professionnel ""Développeur Web et Web Mobile"" (équivalent Bac+2)  inscrit au RNCP. Elle est ouverte à tous  sans condition de diplôme ni pré-requis. Nous recherchons avant tout un état d'esprit caractérisé par l'envie de réussir  la créativité pour trouver des solutions et la capacité à travailler en équipe. Le programme de la formation développeur web est très intensif et pratique. L'objectif est de permettre à toute personne  quelque soit son niveau initial  d'acquérir les compétences techniques et humaines nécessaires afin de débuter une carrière dans la tech en tant que développeur web. ,,COMP,TP,Nous organisons une fois par trimestre un atelier de découverte du code  gratuit et ouvert à tous,,,,,,,,,,,,,,,,,,43.597474,1.430629,PRO-COMP,TP-TP,,43.597473,1.430629
Ref_0451,,11,Escales,,NUM.IN.OC  atelier numérique de l'association ATO MOSSU,,11200,1 rue du Mûrier,,1 rue du Mûrier 11200 Escales,Association,intervention itinérante,,06 32 98 44 76,numinoc@gmail.com,https://www.inclusion-numerique-occitanie.fr/,9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),,Novembre 2020,,,ORDM,SEN-J-DE-E-ALL,,,ACCN,SEN-J-DE-E-ALL,Capacité d'accueil max. : 3 Toutefois  la particularité de ces ""urgences et ateliers numériques"" sont d'offrir un parcours personnalisé et souvent en lien avec la (les) difficulté(s) rencontrée(s) par l'usager. De fait  num.in.oc privilégie l'accueil et l'accompagnement d'une seule personne à la fois.,,ACCDS,SEN-J-DE-E-ALL,,,ACCDA,SEN-J-DE-E-ALL,,,W,SEN-J-DE-E-ALL,,,APTIC,APTIC,,,43.222805,2.696567,ORDM-ACCN-ACCDS-ACCDA-W,SEN-J-DE-E-ALL-SEN-J-DE-E-ALL-SEN-J-DE-E-ALL-SEN-J-DE-E-ALL-SEN-J-DE-E-ALL,,43.222805,2.696567
Ref_0452,,31,Montlaur,,Mon Assistant Numérique Nord Lauragais,,31450,1000 Route de Potié,,1000 Route de Potié 31450 Montlaur,Micro-Entrepreneur,Intervention itinérante  possible à domicile ou auprès de structures ou collectivités,,06 07 36 40 17,shumbertdroz@pratimedia.com,https://www.monassistantnumerique.com/home/reseau/accompagnement-numerique-sur-toulouse-et-le-haut-lauragais/,Sur rdv,Sur rdv,Sur rdv,Sur rdv,Sur rdv,,,Novembre 2020,,,ACCN,TP,Possible de mettre à disposition du matériel durant la médiation,,ACCDS,TP,Possible de mettre à disposition du matériel durant la médiation,,COMP,TP,,,,,,,,,,,APTIC,APTIC,oui,,43.476707,1.598286,ACCN-ACCDS-COMP,TP-TP-TP,,43.476707,1.598286
Ref_0453,,31,Toulouse,,La Tech Academy,,31000,76 allée Jean Jaurès,,76 allée Jean Jaurès 31000 Toulouse,,,,05 61 72 24 09,info@techacademy.fr,http://www.techacademy.fr,8h30 à 18h,8h30 à 18h,8h30 à 18h,8h30 à 18h,8h30 à 18h,,,Novembre 2020,,,ORDM,TP,2 ordinateurs sont toujours disponibles en libre-service avec un accès internet.,,PRO,TP,Nous proposons des cursus de reconversion professionnelle dans l'informatique avec des cursus pour devenir développeur web  développeur mobile ou devops.,Prestataire : Laurie Pujos,,,,,,,,,,,,,,,oui,,43.60797,1.452579,ORDM-PRO,TP-TP,,43.60797,1.452579
Ref_0454,,31,Toulouse,,Secours populaire français,Secours populaire,31200,147 Avenue des Etats Unis,,147 Avenue des Etats Unis 31200 Toulouse,Association,,,05 34 40 34 40,contact@spf31.org,https://www.secourspopulaire.fr/31/,9h00 à 12h00 et de 14h00 à 17h30,9h00 à 12h00 et de 14h00 à 17h30,9h00 à 12h00 et de 14h00 à 17h30,9h00 à 12h00 et de 14h00 à 17h30,9h00 à 12h00 et de 14h00 à 17h30,,,Novembre 2020,,,ORD,TP,,,ACCN,TP,,,REP,TP,Vente de matériel à bas prix,,ACCDA,TP,,,COMP,TP,,,,,oui,,43.63554,1.43059,ORD-ACCN-REP-ACCDA-COMP,TP-TP-TP-TP-TP,,43.63554,1.43059
Ref_0455,,31,Saint-lys,,Ordisol,,31470,4 Avenue de Gascogne,,4 Avenue de Gascogne 31470 Saint-lys,Association,Intervention itinérante  possible auprès de structures ou collectivités,samir.chrouki@gmail.com,06 32 51 35 65,contact@ordisol.fr,ordisol.fr,10h-19h,10h-19h,10h-19h,10h-19h,10h-19h,,,Novembre 2020,,,ACCN,TP-DE-ETR-ALL,,,ACCDS,TP-SEN-ALL-DE,,,COMP,,Le matériel (ordinateurs  connexion internet  ) est mis a disposition le temps de l'atelier (3 heures/session). Les cours et thématiques sont dispensés par des professionnels de l'informatique (vidéo projection).,,ENT,TP-SEN-ALL-DE,,,REP,TP-SEN-ALL-DE-F-J,Vente de matériel reconditionné issu du réemploi (dons d'entreprises locale)  pour les personnes en situation de précarité  éloignées de l'emploi et/ou toute personnes souhaitant s'inscrire dans une démarche éco-responsable de réutilisation d'un matériel déjà existant. 120 euros prix moyen d'un ordinateur ORDISOL Adhésion 20 euros comprenant un support pour l'aide a l'utilisation  les manifestations et évènements organisés par ORDISOL,,,,,,43.514,1.175714,ACCN-ACCDS-COMP-ENT-REP,TP-DE-ETR-ALL-TP-SEN-ALL-DE-TP-SEN-ALL-DE-TP-SEN-ALL-DE-F-J,,43.514,1.175714
