n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
Ref_0095,,31,Escalquens,,Le 100eme singe,,31750,13 avenue de la mairie,,13 avenue de la mairie 31750 Escalquens,Association,,,,lecentiemesinge@gmail.com,https://le100esinge.com/,,,,,,,,Février 2021,,,W,TP,Mise à disposition des espaces de travail partagé  pouvant devenir un facteur de réseaux professionnels,,ACCN,J DE ALL,L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur  nos voisins.,,FL,TP,Activité en co-portage avec Escale Bricole (https://escale-bricole.fr/),,COMP,J ALL,L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur.,L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur.,,,,,TL,Tiers lieu,oui,,43.517589,1.55772,W-ACCN-FL-COMP,TP-J DE ALL-TP-J ALL,,43.517589,1.55772,13 Avenue de la Mairie 31750 Escalquens,0.96,housenumber,31169_0310_00013,13,Avenue de la Mairie,,31750,Escalquens,"31, Haute-Garonne, Occitanie",31169,,,
Ref_0096,,31,Bessieres,,France Services - Val Aïgo Antenne de Bessières,Communauté de communes Val'Aïgo,31660,26 Place du souvenir,,26 Place du souvenir 31660 Bessieres,Collectivité territoriale,,,,cias2@valaigo.fr,,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.800751,1.606565,,,,43.800751,1.606565,26 Place du Souvenir 31660 Bessières,0.95,housenumber,31066_0214_00026,26,Place du Souvenir,,31660,Bessières,"31, Haute-Garonne, Occitanie",31066,,,
Ref_0097,,31,Blagnac,,Mairie de Blagnac,,31700,1 place des Arts,,1 place des Arts 31700 Blagnac,Collectivité territoriale,,,05 61 71 72 00,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.635319,1.39838,,,,43.635319,1.39838,Place des Arts 31700 Blagnac,0.89,locality,31069_0049,,Place des Arts,,31700,Blagnac,"31, Haute-Garonne, Occitanie",31069,,,
Ref_0098,,31,Blagnac,,MJC DES ARTS BLAGNAC,,31700,2 rue de la Croix Blanche,,2 rue de la Croix Blanche 31700 Blagnac,Association,,,05 34 26 52 75,contact@mjc-arts-blagnac.com,https://www.mjc-arts-blagnac.com/,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.63351,1.39861,,,,43.63351,1.39861,2 Rue de la Croix Blanche 31700 Blagnac,0.97,housenumber,31069_0250_00002,2,Rue de la Croix Blanche,,31700,Blagnac,"31, Haute-Garonne, Occitanie",31069,,,
Ref_0099,,31,Cazères,,Maison Pour tous,,31220,6 rue des Capucins,,6 rue des Capucins 31220 Cazères,,Centre social,,,,www.mptcazeres.fr,,,,,,,,Decembre 2019,TP,Libre,COMP,,,,ORDM,,,,,,,,,,,,,,,,,,,,43.20428,1.08388,COMP-ORDM,TP,,43.20428,1.08388,6 Rue des Capucins 31220 Cazères,0.96,housenumber,31135_0078_00006,6,Rue des Capucins,,31220,Cazères,"31, Haute-Garonne, Occitanie",31135,,,
Ref_0100,,31,Cintegabelle,,Foyer rural « La Gabela »,,31550,mairie,,mairie 31550 Cintegabelle,,Foyer rural,,,,,,,,,,,,Decembre 2019,TP,Libre,COMP,,,,,,,,,,,,,,,,,,,,,,,,43.271251,1.558482,COMP,TP,,43.271251,1.558482,Lieu Dit Sainte Marie 31550 Cintegabelle,0.56,street,31145_B257,,Lieu Dit Sainte Marie,,31550,Cintegabelle,"31, Haute-Garonne, Occitanie",31145,,,
Ref_0101,,31,Clarac,,foyer rural Clarac,,31210,Chemin de Sainte Anne,,Chemin de Sainte Anne 31210 Clarac,Association,Foyer rural,,05 61 89 70 64,foyer-rural-clarac@orange.fr,http://www.foyerruralclarac.org/accueil.html,,,,,,,,Decembre 2019,,,COMP,TP,Libre,,,,,,,,,,,,,,,,,,,,,,43.097976,0.62331,COMP,TP,,43.097976,0.62331,Chemin de Sainte Anne 31210 Clarac,0.95,street,31147_0038,,Chemin de Sainte Anne,,31210,Clarac,"31, Haute-Garonne, Occitanie",31147,,,
Ref_0102,,31,Colomiers,,Mairie,,31770,,,31770 Colomiers,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.609804,1.32962,,,,43.609804,1.32962,Colomiers,0.95,municipality,31149,,Colomiers,,31770,Colomiers,"31, Haute-Garonne, Occitanie",31149,,,
Ref_0103,,31,Colomiers,,CCAS,,31770,18 PLACE DU LANGUEDOC,,18 PLACE DU LANGUEDOC 31770 Colomiers,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6109,1.33016,,,,43.6109,1.33016,18 Place du Languedoc 31770 Colomiers,0.96,housenumber,31149_0748_00018,18,Place du Languedoc,,31770,Colomiers,"31, Haute-Garonne, Occitanie",31149,,,
Ref_0104,,31,Colomiers,,LA MIJOTEUSE,COMMUNE DE COLOMIERS,31770,Place Joseph Verseille,,Place Joseph Verseille 31770 Colomiers,Collectivité territoriale,,,06.38.50.65.31.,christine.gouaux@mairie-colomiers.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.609555,1.339555,,,,43.609555,1.339555,Place Joseph Verseille 31770 Colomiers,0.96,street,31149_0728,,Place Joseph Verseille,,31770,Colomiers,"31, Haute-Garonne, Occitanie",31149,,,
Ref_0105,,31,Colomiers,,Point Rencontres Chomeurs Precaires (PRCP),,31770,2 Allée du Vignemale,,2 Allée du Vignemale 31770 Colomiers,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.60514,1.333515,,,,43.60514,1.333515,2 Allée du Vignemale 31770 Colomiers,0.96,housenumber,31149_1342_00002,2,Allée du Vignemale,,31770,Colomiers,"31, Haute-Garonne, Occitanie",31149,,,
Ref_0106,,31,Fenouillet,,Association Femmes du Monde,,31150,,,31150 Fenouillet,Association,Centre social,,05 31 48 50 99 06 27 20 24 70,asso.femmesdumonde@gmail.com,http://femmes-du-monde-31.blogspot.fr/,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.684445,1.391525,,,,43.684445,1.391525,Fenouillet,0.94,municipality,31182,,Fenouillet,,31150,Fenouillet,"31, Haute-Garonne, Occitanie",31182,,,
Ref_0107,,31,La Salvetat Saint Gilles,,centre social F Chopin,,31880,Rue Frédéric Chopin,,Rue Frédéric Chopin 31880 La Salvetat Saint Gilles,,Centre social,,05.34.52.70.96,,,,,,,,,,Decembre 2019,,,COMP,SEN,,,,,,,,,,,,,,,,,,,,,,,43.575575,1.273254,COMP,SEN,,43.575575,1.273254,Avenue Frederic Chopin 31880 La Salvetat-Saint-Gilles,0.87,street,31526_0061,,Avenue Frederic Chopin,,31880,La Salvetat-Saint-Gilles,"31, Haute-Garonne, Occitanie",31526,,,
Ref_0108,,31,Labège,,ASSOCIATION IOT VALLEY,,31670,425 rue Jean Rostand,,425 rue Jean Rostand 31670 Labège,Association,,,,bertran@iot-valley.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.543887,1.511505,,,,43.543887,1.511505,425 Rue Jean Rostand 31670 Labège,0.95,housenumber,31254_0227_00425,425,Rue Jean Rostand,,31670,Labège,"31, Haute-Garonne, Occitanie",31254,,,
Ref_0109,,31,Escalquens,,Maison de la Solidarité,,31670,Mairie d'Escalquens Place François Mitterrand,,Mairie d'Escalquens Place François Mitterrand 31670 Escalquens,,Centre social,,05 62 71 56 75,centre.social@escalquens.fr,www.escalquens.fr,14h-18h,8h30-12h et 14h-18h,8h30-12h et 14h-18h,9h-12h et 14h-19h,8h30-12h et 14h-18h,,,Juin 2021,,,ORDM,,,,ENT,SEN,Ouvert aux adhérents du centre social - Sur inscription  priorité aux Escalquinois.  Tous les mercredis de 14h à 17h hors vacances scolaires,Mathilde LABETAA,ACCDS,TP,Démarche simple en ligne liée à un droit (aller chercher une attestation sur son espace personnel  transmettre une pièce jointe  faire une déclaration trimestrielle...),,,,,,,,,,,,,,43.517864,1.558979,ORDM-ENT-ACCDS,SEN-TP,,43.517864,1.558979,Place Francois Mitterrand 31750 Escalquens,0.58,street,31169_ewvqku,,Place Francois Mitterrand,,31750,Escalquens,"31, Haute-Garonne, Occitanie",31169,,,
Ref_0110,,31,Lagardelle-sur-Lèze,,EVOLFABLAB,,31870,289 route de la fontannasse,,289 route de la fontannasse 31870 Lagardelle-sur-Lèze,Association,,,06 20 22 11 48,infoaleze@gmail.com,,,,,,,,,Decembre 2019,,,FL,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.414922,1.396709,FL,,,43.414727,1.396756,289 Route de la Fontanasse 31870 Lagardelle-sur-Lèze,0.94,housenumber,31263_0055_00289,289,Route de la Fontanasse,,31870,Lagardelle-sur-Lèze,"31, Haute-Garonne, Occitanie",31263,,,
Ref_0111,,31,Lagardelle-sur-Lèze,,Mairie,,31870,,,31870 Lagardelle-sur-Lèze,,,,,,,,,,,,,,Decembre 2019,TP,Libre,SENS,,,,FL,,,,,,,,,,,,,,,,,,,,43.413788,1.392278,SENS-FL,TP,,43.412969,1.392284,Lagardelle-sur-Lèze,0.94,municipality,31263,,Lagardelle-sur-Lèze,,31870,Lagardelle-sur-Lèze,"31, Haute-Garonne, Occitanie",31263,,,
Ref_0112,,31,Lagardelle-sur-Lèze,,Médiathèque municipale,,31870,3 Château de Vignaou,,3 Château de Vignaou 31870 Lagardelle-sur-Lèze,,,,,bm.lagardelle@wanadoo.fr,,,15h00 - 18h00,09h30 - 12h30 et 15h00 - 18h00,15h00 - 18h00,09h30 - 12h30,09h30 - 12h30,,Decembre 2019,,,ORD,ALL,,,,,,,,,,,,,,,,,,,,,,,43.414512,1.388385,ORD,ALL,,43.414559,1.388024,3 Rue du Chateau du Vignaou 31870 Lagardelle-sur-Lèze,0.8,housenumber,31263_0021_00003,3,Rue du Chateau du Vignaou,,31870,Lagardelle-sur-Lèze,"31, Haute-Garonne, Occitanie",31263,,,
Ref_0113,,31,Le Fauga,,Desir informatique faugatien,,31410,1 Place de la HALLE,,1 Place de la HALLE 31410 Le Fauga,Association,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.39619,1.295885,,,,43.39619,1.295885,1 Place de la Halle 31410 Le Fauga,0.95,housenumber,31181_0036_00001,1,Place de la Halle,,31410,Le Fauga,"31, Haute-Garonne, Occitanie",31181,,,
Ref_0114,,31,Le Fauga,,mairie La Fauga,,31410,1 Place de la Halle,,1 Place de la Halle 31410 Le Fauga,Collectivité territoriale,,,,mairie@lefauga.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.39619,1.295885,,,,43.39619,1.295885,1 Place de la Halle 31410 Le Fauga,0.95,housenumber,31181_0036_00001,1,Place de la Halle,,31410,Le Fauga,"31, Haute-Garonne, Occitanie",31181,,,
Ref_0115,,31,Lespinasse,,PCWORKS31,,31150,2 Allée Pierre-paul Riquet,,2 Allée Pierre-paul Riquet 31150 Lespinasse,,,,0954 882 757,,https://pcworks31.com/,,,,,,,,Octobre 2020,,,W,,,,COMP,,,,PRO,,,,,,,,,,,,APTIC,APTIC,,,43.707551,1.385597,W-COMP-PRO,,,43.707551,1.385597,2 Allée Pierre-Paul Riquet 31150 Lespinasse,0.95,housenumber,31293_0169_00002,2,Allée Pierre-Paul Riquet,,31150,Lespinasse,"31, Haute-Garonne, Occitanie",31293,,,
Ref_0116,,31,Lherm,,C N S Communications,,31600,9 Rue de la Foret,,9 Rue de la Foret 31600 Lherm,,,,,,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.427296,1.211384,,,,43.427296,1.211384,9 Rue de la Foret 31600 Lherm,0.96,housenumber,31299_0049_00009,9,Rue de la Foret,,31600,Lherm,"31, Haute-Garonne, Occitanie",31299,,,
Ref_0117,,31,Léguevin,,centre social La Maison des Quartiers,,31490,49 rue Pipet,,49 rue Pipet 31490 Léguevin,,Centre social,,05 61 06 90 13,centre-social.leguevin@save-touch.org,http://www.ville-leguevin.fr/maison_des_quartiers%20(2).aspx,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.600721,1.234607,,,,43.600721,1.234607,49 Rue Pipet 31490 Léguevin,0.96,housenumber,31291_0168_00049,49,Rue Pipet,,31490,Léguevin,"31, Haute-Garonne, Occitanie",31291,,,
Ref_0118,,31,Lévignac,,centre social Vallée de la Save,Communauté de communes de la Save au Touch,31530,5 rue de la Mairie,,5 rue de la Mairie 31530 Lévignac,,Centre social,,05 62 13 80 20,centre-social.valleesave@save-touch.org,https://www.mairie-levignac.com/centre-social,9h00 - 12h00 et de 14h00 à 17h30,9h00 - 12h00 et de 14h00 à 17h30,9h00 - 12h00 et de 14h00 à 17h30,9h00 - 12h00 et de 14h00 à 17h30,9h00 – 12h00,,,Octobre 2020,,,SENS,TP,Libre,,,,,,,,,,,,,,,,,,,,,,43.666663,1.194417,SENS,TP,,43.666663,1.194417,5 Rue de la Mairie 31530 Lévignac,0.95,housenumber,31297_0004_00005,5,Rue de la Mairie,,31530,Lévignac,"31, Haute-Garonne, Occitanie",31297,,,
Ref_0119,,31,Merville,,Centre Social de Merville / CCAS,,31330,50 rue du 19 mars 1962,,50 rue du 19 mars 1962 31330 Merville,,Centre social,,05 62 13 40 95,,,,,,,,,,Decembre 2019,,,ORD,TP,Libre,,ORD,ALL,Libre,,COMP,TP,Libre,,SENS,,,,,,,,,,,,43.722019,1.298805,ORD-ORD-COMP-SENS,TP-ALL-TP,,43.722019,1.298805,50 Rue du 19 Mars 1962 31330 Merville,0.95,housenumber,31341_0239_00050,50,Rue du 19 Mars 1962,,31330,Merville,"31, Haute-Garonne, Occitanie",31341,,,
Ref_0120,,31,Miremont,,Médiathèque,,31190,Place Carreties,,Place Carreties 31190 Miremont,,,,05 61 50 67 05,biblio.miremont@wanadoo.fr,,,,,,,,,Decembre 2019,,,ORD,Habitants,,,,,,,,,,,,,,,,,,,,,,,43.370489,1.416036,ORD,Habitants,,43.370489,1.416036,Place Carretier 31190 Miremont,0.83,street,31345_0024,,Place Carretier,,31190,Miremont,"31, Haute-Garonne, Occitanie",31345,,,
Ref_0121,,31,Montbrun Bocage,,L'ordinateur facile,,31310,3 rue du Rebarat,,3 rue du Rebarat 31310 Montbrun Bocage,Association,,,06 51 91 40 96,lordinateurfacile@gmail.com,http://www.lordinateurfacile.fr/,9 h - 14 h,9 h - 14 h,9 h - 14 h,9 h - 14 h,9 h - 14 h,9 h - 14 h,,Decembre 2019,,,ORDM,,,,ACCDS,,,,FL,,,,,,,,,,,,,,,,43.127457,1.267767,ORDM-ACCDS-FL,,,43.127457,1.267767,3 Rue du Rebarat 31310 Montbrun-Bocage,0.94,housenumber,31365_0056_00003,3,Rue du Rebarat,,31310,Montbrun-Bocage,"31, Haute-Garonne, Occitanie",31365,,,
Ref_0122,,31,Montrejeau,,SARAPP Montrejeau,,31210,,,31210 Montrejeau,,,,05.61.94.59.82,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.085468,0.558922,,,,43.087694,0.557446,Montréjeau,0.94,municipality,31390,,Montréjeau,,31210,Montréjeau,"31, Haute-Garonne, Occitanie",31390,,,
Ref_0123,,31,Nailloux,,France Services - CC Terres du Lauragais,Communauté de communes,31560,1 rue de la république,,1 rue de la république 31560 Nailloux,Collectivité territoriale,,,06 60 94 95 34,franceservices.sud@terres-du-lauragais.fr,https://www.cohesion-territoires.gouv.fr/france-services,13:30 - 17:00,13:30 - 17:00,de 09h00 à 12h30 de 13h30 à 17h00,13:30 - 17:00,de 09h00 à 12h30 de 13h30 à 17h00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.356585,1.623418,,,,43.356585,1.623418,1 Rue de la République 31560 Nailloux,0.96,housenumber,31396_0340_00001,1,Rue de la République,,31560,Nailloux,"31, Haute-Garonne, Occitanie",31396,,,
Ref_0124,,31,Pibrac,,Maison des Initiatives Sociales et Culturelles,,31820,1 Impasse de la Gare,,1 Impasse de la Gare 31820 Pibrac,,Centre social,,,,,,,,,,,,Decembre 2019,,,ORD,,,,COMP,,,,,,,,,,,,,,,,,,,,43.621325,1.289239,ORD-COMP,,,43.621327,1.287953,Impasse de la Gare 31820 Pibrac,0.9,street,31417_0141,,Impasse de la Gare,,31820,Pibrac,"31, Haute-Garonne, Occitanie",31417,,,
Ref_0125,,31,Plaisance du Touch,,centre social Sesame,,31830,1 rue des Tilleuls,,1 rue des Tilleuls 31830 Plaisance du Touch,,Centre social,,05 62 13 52 57,centre.sesame@save-touch.org,https://www.plaisancedutouch.fr/le-centre-sesame,,,,,,,,Octobre 2020,,,COMP,SEN,inscription,,,,,,,,,,,,,,,,,,,,,,43.567961,1.296663,COMP,SEN,,43.567961,1.296663,1 Rue des Tilleuls 31830 Plaisance-du-Touch,0.96,housenumber,31424_0195_00001,1,Rue des Tilleuls,,31830,Plaisance-du-Touch,"31, Haute-Garonne, Occitanie",31424,,,
Ref_0126,,31,Puydaniel,,Solidarité Numérique CCAS,ASSOCIATION PLANETE SCIENCES OCCITANIE,31190,8 avenue des Pyrénées,,8 avenue des Pyrénées 31190 Puydaniel,Collectivité territoriale,,,05 61 50 72 44,mairiepuydaniel@wanadoo.fr,https://www.mairie-puydaniel.fr/,,,,,,,,Decembre 2019,TP,Libre,ORDM,,,,ACCN,,,,SENS,,,,,,,,,,,,,,,,43.337135,1.429501,ORDM-ACCN-SENS,TP,,43.337135,1.429501,8 Avenue des Pyrenees 31190 Puydaniel,0.95,housenumber,31442_0005_00008,8,Avenue des Pyrenees,,31190,Puydaniel,"31, Haute-Garonne, Occitanie",31442,,,
Ref_0127,,31,Ramonville,,"Le PIC : ""Projet Internet et Citoyenneté""",,31520,14 chemin pouciquot,,14 chemin pouciquot 31520 Ramonville,Association,,,06 76 08 88 39 ou 06 01 22 32 91,,https://www.le-pic.org/,,,,,,,,Octobre 2020,TP,,COMP,TP,sur inscription. Les samedi de 14h à 18h. thèmes des ateliers sur : https://www.le-pic.org/spip.php?rubrique121,,,,,,,,,,,,,,,,,,,,,,43.551755,1.471748,COMP,TP-TP,,43.551908,1.472598,14 Chemin Pouciquot 31520 Ramonville-Saint-Agne,0.74,housenumber,31446_0630_00014,14,Chemin Pouciquot,,31520,Ramonville-Saint-Agne,"31, Haute-Garonne, Occitanie",31446,,,
Ref_0128,,31,Ramonville,,Le F@bRiquet,,31520,14 rue Hermes,,14 rue Hermes 31520 Ramonville,Association,,,05 61 73 10 22,ariane.rudelle@planete-sciences.org,http://www.fabriquet.fr/web/,,14h-22h,13h-18h,Sur RDV,13h-18h,13h-20h,,Decembre 2019,,,FL,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.550024,1.485155,FL,,,43.550024,1.485155,14 Rue Hermes 31520 Ramonville-Saint-Agne,0.71,housenumber,31446_0306_00014,14,Rue Hermes,,31520,Ramonville-Saint-Agne,"31, Haute-Garonne, Occitanie",31446,,,
Ref_0129,,31,Rieumes,,France Services - CC Cœur de Garonne,Communauté de Communes Cœur de Garonne,31370,2 Place du marché à la volaille,,2 Place du marché à la volaille 31370 Rieumes,Collectivité territoriale,,,09 67 51 89 96,franceservices@cc-coeurdegaronne.fr,https://www.cohesion-territoires.gouv.fr/france-services,de 14h00 à 17h00,de 08h30 à 12h30 de 14h00 à 17h00,de 08h30 à 12h30,de 08h30 à 12h30 de 14h00 à 17h00,de 08h30 à 12h30,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.412778,1.119277,,,,43.412778,1.119277,2 Place du Marche a la Volaille 31370 Rieumes,0.95,housenumber,31454_0405_00002,2,Place du Marche a la Volaille,,31370,Rieumes,"31, Haute-Garonne, Occitanie",31454,,,
Ref_0130,,31,Toulouse,,Alliances et Cultures MUP,,31000,14 chemin du miral,,14 chemin du miral 31000 Toulouse,Association,,,05 61 44 67 63,centresocial.mup@alliancesetcultures.org,http://www.alliancesetcultures.org,,,9h - 12h30, 9h - 12h30 et 14h - 17h,9h - 12h30,,,Mars 2021,TP,Gratuit,ORDM ,TP,,,,,,,,,,,,,,,,,,,,,,,43.613708,1.445647,ORDM ,TP-TP,,43.613708,1.445647,14 Rue du Printemps 31000 Toulouse,0.51,housenumber,31555_7140_00014,14,Rue du Printemps,,31000,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,
Ref_0131,,31,Saint Gaudens,,MJC / cyber-base du Saint-Gaudinois,,31800,1 place du maréchal juin,,1 place du maréchal juin 31800 Saint Gaudens,Association,,,05 61 94 66 45,info@mjc-st-gaudens.org,www.mjc-st-gaudens.org,,,,,,,,Octobre 2020,,,ORDM,,,,COMP,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.109176,0.726436,ORDM-COMP,,,43.109176,0.726436,1 Place du Marechal Juin 31800 Saint-Gaudens,0.96,housenumber,31483_0998_00001,1,Place du Marechal Juin,,31800,Saint-Gaudens,"31, Haute-Garonne, Occitanie",31483,,,
Ref_0132,,31,Saint Gaudens,,Club de prévention Saint Gaudens,Conseil Départemental,31800,5 rue de la République,,5 rue de la République 31800 Saint Gaudens,Collectivité territoriale,club de prévention,,05 61 95 10 66,clubpreventionsaintgaudens@cd31.fr,https://www.haute-garonne.fr/service/le-club-de-prevention-jeunesse-de-saint-gaudens,,,,,,,,Octobre 2020,J,,ACCDS,,,,ACCDA,,,,SENS,J,Promeneurs du net,,,,,,,,,,,,,,43.107605,0.721335,ACCDS-ACCDA-SENS,J-J,,43.107605,0.721335,5 Rue de la République 31800 Saint-Gaudens,0.97,housenumber,31483_1380_00005,5,Rue de la République,,31800,Saint-Gaudens,"31, Haute-Garonne, Occitanie",31483,,,
Ref_0133,,31,Saint Gaudens,,TIERS LIEUX EN COMMINGES,MAISON DE L AVENIR COMMINGES PYRENEES,31800,1 place Maréchal Juin,,1 place Maréchal Juin 31800 Saint Gaudens,Association,,,05.61.94.66.45,julie@maisondelavenir.eu,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.109176,0.726436,,,,43.109176,0.726436,1 Place du Marechal Juin 31800 Saint-Gaudens,0.89,housenumber,31483_0998_00001,1,Place du Marechal Juin,,31800,Saint-Gaudens,"31, Haute-Garonne, Occitanie",31483,,,
Ref_0134,,31,Saint Gaudens,,Cyber-base,,31800,1 Place du Marechal Juin,,1 Place du Marechal Juin 31800 Saint Gaudens,,,,,,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.109176,0.726436,,,,43.109176,0.726436,1 Place du Marechal Juin 31800 Saint-Gaudens,0.96,housenumber,31483_0998_00001,1,Place du Marechal Juin,,31800,Saint-Gaudens,"31, Haute-Garonne, Occitanie",31483,,,
Ref_0135,,31,Saint Orens,,CCAS,,31650,Place de la fraternité 2 Rosa Parks,,Place de la fraternité 2 Rosa Parks 31650 Saint Orens,Collectivité territoriale,,,05 61 39 54 05,,https://www.ville-saint-orens.fr/cohesion-sociale/ccas,,,,,,,,Octobre 2020,TP,,ACCDS,,,,ACCDA,,,,,,,,,,,,,,,,,,,,43.550527,1.538481,ACCDS-ACCDA,TP,,43.550527,1.538481,Rue Rosa Parks 31650 Saint-Orens-de-Gameville,0.5,street,31506_1147,,Rue Rosa Parks,,31650,Saint-Orens-de-Gameville,"31, Haute-Garonne, Occitanie",31506,,,
Ref_0136,,31,Saint Orens de Gameville,,Espace Pour Tous,,31650,2 Rue des Muriers,,2 Rue des Muriers 31650 Saint Orens de Gameville,Collectivité territoriale,Centre social,,05 61 39 54 03,,https://www.ville-saint-orens.fr/vie-de-la-cite-sports-culture/l-espace-pour-tous/248-l-espace-pour-tous,,,,,,,,Decembre 2019,TP,,COMP,,,,,,,,,,,,,,,,,,,,,,,,43.550233,1.538071,COMP,TP,,43.550233,1.538071,2 Rue des Mûriers 31650 Saint-Orens-de-Gameville,0.96,housenumber,31506_0890_00002,2,Rue des Mûriers,,31650,Saint-Orens-de-Gameville,"31, Haute-Garonne, Occitanie",31506,,,
Ref_0137,,31,Saint-Jean,,Mairie,COMMUNE DE ST JEAN,31240,33 ter route d'Albi,,33 ter route d'Albi 31240 Saint-Jean,Collectivité territoriale,,,05 32 09 68 37,sylvie.blanc@mairie-saintjean.fr,https://www.mairie-saintjean.fr/,,,,,,,,Octobre 2020,,,SENS,J,Promeneurs du net,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.664951,1.50452,SENS,J,,43.664951,1.50452,33ter Route d'Albi 31240 Saint-Jean,0.89,housenumber,31488_b25y8n_00033_ter,33ter,Route d'Albi,,31240,Saint-Jean,"31, Haute-Garonne, Occitanie",31488,,,
Ref_0138,,31,Saint-Jean,,MJC Les Granges / Saint Jean,,31240,33 route d'Albi,ter,33 route d'Albi 31240 Saint-Jean,,,,05 32 09 67 50,,https://www.mairie-saintjean.fr/les-granges/,,,,,,,,Decembre 2019,,,ORDM,,,,COMP,,,,FL,,,,,,,,,,,,,,,,43.664503,1.50383,ORDM-COMP-FL,,,43.664503,1.50383,33 Route d'Albi 31240 Saint-Jean,0.96,housenumber,31488_b25y8n_00033,33,Route d'Albi,,31240,Saint-Jean,"31, Haute-Garonne, Occitanie",31488,,,
Ref_0139,,31,Saint-Jean,,Centre Social Les Granges / Saint Jean,,31240,33 route d'Albi,ter,33 route d'Albi 31240 Saint-Jean,,Centre social,,05 32 09 68 37,,https://www.mairie-saintjean.fr/les-granges/,,,,,,,,Decembre 2019,,,ACCN,,,,SENS,,,,SENS,,,,,,,,,,,,,,,,43.664503,1.50383,ACCN-SENS-SENS,,,43.664503,1.50383,33 Route d'Albi 31240 Saint-Jean,0.96,housenumber,31488_b25y8n_00033,33,Route d'Albi,,31240,Saint-Jean,"31, Haute-Garonne, Occitanie",31488,,,
